GATA2	RARA
GATA2	KRAS
GATA2	PDGFRA
GATA2	TP53
GATA2	KIT
GATA2	TAL1
GATA2	GFI1
GATA2	NPM1
GATA2	RUNX1
GATA2	TERT
GATA2	SAMD9L
GATA2	IKZF1
GATA2	TAL2
GATA2	GFI1B
GATA2	SH2B3
GATA2	SAMD9
GATA2	THPO
GATA2	NF1
GATA2	MPL
GATA2	PTPN11
GATA2	JAK2
GATA2	SRSF2
GATA2	NRAS
GATA2	SETBP1
GATA2	TET2
GBA	TP53
GBA	SMPD1
GFI1	TP53
GFI1	KIT
GFI1	TAL1
GFI1	NF1
GFI1	GFI1B
GFI1	IKZF1
GFI1	HAX1
GFI1	RUNX1
GFI1B	KIT
GFI1B	TAL1
GFI1B	RUNX1
GFI1B	MPL
GLI1	LZTR1
GLI1	MDM2
GLI1	PDGFRB
GLI1	KIT
GLI1	KRAS
GLI1	TP53
GLI1	PDGFRA
GNB1	KRAS
GNB1	PIK3CA
GNB1	NRAS
GNB1	RPL18
GNB1	PIK3R1
HAX1	SBDS
HAX1	TSR2
IFIH1	MEFV
IFIH1	RNASEH2A
IFIH1	MSH6
IFIH1	RNASEH2C
IFIH1	SAMD9L
IFIH1	RNASEH2B
IFIH1	SAMD9
IFIH1	JAK2
IFIH1	RECQL4
IFIH1	TREX1
IFIH1	SAMHD1
IFIH1	MYD88
IKZF1	KRAS
IKZF1	TP53
IKZF1	KIT
IKZF1	TAL1
IKZF1	NPM1
IKZF1	RUNX1
IKZF1	SETD2
IKZF1	SRSF2
IKZF1	NF1
IKZF1	SETBP1
IKZF1	PTPN11
IKZF1	NRAS
IKZF1	NUP214
IKZF1	TET2
IKZF1	SH2B3
IKZF1	JAK2
IKZF1	IKZF3
IKZF3	RUNX1
IKZF3	NUP214
JAK2	MLH1
JAK2	KRAS
JAK2	PDGFRA
JAK2	MDM2
JAK2	PDGFRB
JAK2	PIK3CA
JAK2	TP53
JAK2	KIT
JAK2	NPM1
JAK2	RUNX1
JAK2	TERT
JAK2	SAMD9L
JAK2	SH2B3
JAK2	NF1
JAK2	NRAS
JAK2	MPL
JAK2	SETD2
JAK2	SETBP1
JAK2	MYD88
JAK2	SRSF2
JAK2	TET2
JAK2	THPO
JAK2	PIK3R1
JAK2	PTPN11
KIF11	TRIP13
KIF11	MSH2
KIF11	NPM1
KIF11	TP53
KIF11	NUMA1
KIT	MLH1
KIT	MSH2
KIT	RARA
KIT	KRAS
KIT	PDGFRA
KIT	MDM2
KIT	PIK3CA
KIT	TP53
KIT	MYD88
KIT	RPS19
KIT	TAL1
KIT	SETBP1
KIT	SRSF2
KIT	TERT
KIT	MPL
KIT	NF1
KIT	THPO
KIT	NPM1
KIT	RUNX1
KIT	TET2
KIT	SH2B3
KIT	NRAS
KIT	PTPN11
KIT	PIK3R1
KRAS	MLH1
KRAS	MSH2
KRAS	MSH6
KRAS	RARA
KRAS	SH2B3
KRAS	RB1
KRAS	SETD2
KRAS	SETBP1
KRAS	SRSF2
KRAS	RUNX1
KRAS	TERT
KRAS	TET2
KRAS	MDM2
KRAS	PMS2
KRAS	NPM1
KRAS	LZTR1
KRAS	NRAS
KRAS	TP53
KRAS	PTPN11
KRAS	PDGFRB
KRAS	PIK3R1
KRAS	PDGFRA
KRAS	NF1
KRAS	PIK3CA
LIG4	MLH1
LIG4	MSH2
LIG4	MSH6
LIG4	MDM2
LIG4	NBN
LIG4	PMS2
LIG4	TP53
LIG4	TERT
LIG4	RECQL4
LZTR1	PIK3CA
LZTR1	NF1
LZTR1	NRAS
LZTR1	PTPN11
MDM2	MLH1
MDM2	MSH2
MDM2	RARA
MDM2	PDGFRA
MDM2	RUNX1
MDM2	PDGFRB
MDM2	NUP214
MDM2	RPL15
MDM2	RPS24
